Product_Name, PlatForm, Price_Down, Original_Price,Price, Overall_Review, RatePercent, User_Amount
Rising Storm 2: Vietnam,['win'],-67%,$24.99 ,$8.25 ,positive,76%,18418
Rising Storm 2: Vietnam - Digital Deluxe Edition Upgrade,['win'],-67%,$4.99 ,$1.65 ,positive,79%,62
Rocket League® - Supersonic Fury DLC Pack,['win'/ 'mac'/ 'lin'],-50%,$3.99 ,$1.99 ,positive,95%,1566
Immortal: Unchained,['win'],-50%,$49.99 ,$24.99 ,positive,70%,196
Rocket League® - Chaos Run DLC Pack,['win'/ 'mac'/ 'lin'],-50%,$3.99 ,$1.99 ,positive,92%,363
Rocket League® - Revenge of the Battle-Cars DLC Pack,['win'/ 'mac'/ 'lin'],-50%,$3.99 ,$1.99 ,positive,93%,349
Steam Link,['win'/ 'mac'/ 'lin'],-95%,$49.99 ,$2.50 ,positive,73%,5061
Steam Controller and Link,['win'/ 'mac'/ 'lin'],-64%,$99.98 ,$35.61 ,positive,73%,12429
Sid Meier’s Civilization VI Gold Edition,['win'/ 'mac'/ 'lin'],-69%,$127.92 ,$39.98 ,mixed,63%,36266
Sid Meier’s Civilization® VI,['win'/ 'mac'/ 'lin'],-70%,$59.99 ,$18.00 ,mixed,66%,31633
Frostpunk,['win'],-33%,$29.99 ,$20.09 ,positive,85%,14404
Tom Clancy's Rainbow Six® Siege,['win'],-65%,$39.99 ,$13.99 ,positive,78%,197421
Rocket League®,['win'/ 'mac'/ 'lin'],-50%,$19.99 ,$9.99 ,positive,91%,165283
ARK: Survival Evolved,['win'/ 'mac'/ 'lin'],-60%,$49.99 ,$19.99 ,mixed,68%,155525
Sid Meier’s Civilization® VI: Rise and Fall,['win'/ 'mac'/ 'lin'],-33%,$29.99 ,$20.09 ,mixed,59%,1548
Warhammer: Vermintide 2,['win'],-50%,$29.99 ,$14.99 ,positive,72%,18027
NBA 2K19,['win'],-50%,$59.99 ,$29.99 ,negative,22%,3651
The Messenger,['win'],-30%,$19.99 ,$13.99 ,positive,94%,692
ARK: Aberration - Expansion Pack,['win'/ 'mac'/ 'lin'],-50%,$19.99 ,$9.99 ,positive,74%,2066
ARK: Scorched Earth - Expansion Pack,['win'/ 'mac'/ 'lin'],-60%,$19.99 ,$7.99 ,positive,77%,3704
Planet Coaster,['win'],-60%,$44.99 ,$17.99 ,positive,88%,18637
ARK: Survival Evolved Season Pass,['win'/ 'mac'/ 'lin'],-35%,$44.99 ,$29.24 ,positive,72%,642
ARK: Survival Evolved Explorer's Edition,['win'/ 'mac'/ 'lin'],-51%,$94.98 ,$46.77 ,mixed,69%,162392
Tom Clancy's Rainbow Six® Siege - Year 3 Pass,['win'],-30%,$29.99 ,$20.99 ,positive,84%,3170
Warhammer: Vermintide 2 - Collector's Edition,['win'],-50%,$44.99 ,$22.49 ,positive,72%,18252
Rising Storm 2: Vietnam,['win'],-67%,$24.99 ,$8.25 ,positive,76%,18418
Rising Storm 2: Vietnam - Digital Deluxe Edition Upgrade,['win'],-67%,$4.99 ,$1.65 ,positive,79%,62
Rocket League® - Supersonic Fury DLC Pack,['win'/ 'mac'/ 'lin'],-50%,$3.99 ,$1.99 ,positive,95%,1566
Immortal: Unchained,['win'],-50%,$49.99 ,$24.99 ,positive,70%,196
Rocket League® - Chaos Run DLC Pack,['win'/ 'mac'/ 'lin'],-50%,$3.99 ,$1.99 ,positive,92%,363
Rocket League® - Revenge of the Battle-Cars DLC Pack,['win'/ 'mac'/ 'lin'],-50%,$3.99 ,$1.99 ,positive,93%,349
